"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Joswe El AB","4.7","10","Bingebygatan 9","Visby",,"SE","http://www.joswe.se/","+46 498 24 76 76","Electrician","Burglar alarm store","Computer security service","Data recovery service","Electrical engineer","Electronics repair shop",,,,,"https://www.google.com/maps/search/?api=1&query=Joswe%20El%20AB&query_place_id=ChIJ37aOiSWp90YRk_9ghzLskLc","Electrician"
"All El Gotland AB","4.4","15","Lundbygatan 2L","Visby",,"SE","http://www.allelgotland.se/","+46 498 28 40 00","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=All%20El%20Gotland%20AB&query_place_id=ChIJKTgObcyo90YRz0IfjU1KB0o","Electrician"
"Bravida","4.8","6","Verkstadsgatan 14","Visby",,"SE","https://www.bravida.se/kontor/sverige/gotland/","+46 498 27 90 50","Electrician","Electrical engineer","Heating equipment supplier","HVAC contractor","Plumber","Security system supplier","Telecommunications equipment supplier","Utility contractor",,,"https://www.google.com/maps/search/?api=1&query=Bravida&query_place_id=ChIJN5SdIyWp90YRGXSH2doOdQE","Electrician"
"Gotlands El & Tele Teknik AB (GETTAB)","4","6","Hyvelgatan 5 C","Visby",,"SE","http://www.gettab.se/","+46 498 69 14 00","Electrician","Lighting store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gotlands%20El%20%26%20Tele%20Teknik%20AB%20(GETTAB)&query_place_id=ChIJQT7BESWp90YRHjbDH7_RLeE","Electrician"
"Estab El & Systemteknik AB","5","1","Terra Novavägen 13","Visby",,"SE","http://www.estab.se/","+46 498 21 15 30","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Estab%20El%20%26%20Systemteknik%20AB&query_place_id=ChIJSZX7Ceqo90YRHpKQMlWT-NE","Electrician"
"Oskars Spänning AB",,,"Väskinde knuts 499e","Visby",,"SE","http://oskarsspanning.se/","+46 76 020 21 31","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oskars%20Sp%C3%A4nning%20AB&query_place_id=ChIJdc03sWqr90YRhwoKGHehezI","Electrician"
"Assemblin",,,"Greta Arvidssons Gata 39","Visby",,"SE","https://www.assemblin.se/","+46 10 472 60 00","Electrician","Automation company","Electrical engineer","Electrical installation service","General contractor","Security system installation service","Telecommunications contractor",,,,"https://www.google.com/maps/search/?api=1&query=Assemblin&query_place_id=ChIJ4-4FKeCo90YRMvY-CmkbCBE","Electrician"
"Johan Breiler Elteknik AB",,,"Ekeby Röstäde 414","Visby",,"SE",,"+46 70 790 64 68","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Johan%20Breiler%20Elteknik%20AB&query_place_id=ChIJpWkoX8EH90YRdEaF3ZznW3M","Electrical installation service"
"Hiss & Elservice i Visby AB","5","3","Wilhelmina Skoghs gata 8","Visby",,"SE","http://hissochelservice.se/","+46 70 626 49 29","Elevator service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hiss%20%26%20Elservice%20i%20Visby%20AB&query_place_id=ChIJ28WQAlmv90YRiPoEWHyR20M","Elevator service"
"CompHiss Teknik AB","5","1","Hyvelgatan 8","Visby",,"SE",,"+46 498 27 10 70","Contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CompHiss%20Teknik%20AB&query_place_id=ChIJnUCrQCGp90YRfkhS_AGIGgY","Contractor"
"Caverion Sverige AB","5","1","Lundbygatan 2l","Visby",,"SE","http://www.caverion.se/","+46 498 28 82 60","Business to business service","Air conditioning contractor","Automation company","Electrical engineer","Heating contractor","Industrial engineer","Security system installation service",,,,"https://www.google.com/maps/search/?api=1&query=Caverion%20Sverige%20AB&query_place_id=ChIJS1qt6x-p90YRT1vuso17lFg","Business to business service"
"Solaris Energi AB","4.8","6","Lundbygatan 2L","Visby",,"SE","http://www.solarisenergi.se/","+46 498 28 40 00","Solar energy company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Solaris%20Energi%20AB&query_place_id=ChIJ8ygZwDTr9kYREPQOleyMTpY","Solar energy company"
"Solar Sweden AB","4.7","12","Skarphällsgatan 10","Visby",,"SE","https://www.solar.se/","+46 10 166 40 23","Warehouse store","Electrical supply store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Solar%20Sweden%20AB&query_place_id=ChIJx5emOTGv90YRonN9uoVOOVY","Warehouse store"
"Krooken AB","5","1","Östra Tvärgatan 14","Visby",,"SE",,"+46 70 421 73 43","Building consultant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Krooken%20AB&query_place_id=ChIJ____P9io90YRKxZ5IpPdvik","Building consultant"
"Sandbäckens Rör i Visby AB","4.8","6","Hyvelgatan 5","Visby",,"SE","http://sandbackens.se/","+46 498 65 57 30","Utility contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sandb%C3%A4ckens%20R%C3%B6r%20i%20Visby%20AB&query_place_id=ChIJmZL-YyGp90YRoPJD_ZHL1fE","Utility contractor"
"Kyl & Maskin","4.2","54","Skogslundsvägen 4","Visby",,"SE","http://kyl-maskin.se/","+46 498 24 87 00","Appliance repair service","Heating equipment supplier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kyl%20%26%20Maskin&query_place_id=ChIJ4-moYsGo90YR-4mrRpEddng","Appliance repair service"
"Ahlsell","4.4","130","Lundbygatan 1D","Visby",,"SE","http://www.ahlsell.se/butiker/visby/","+46 10 471 26 58","Tool store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ahlsell&query_place_id=ChIJF7cpdi-p90YRhpiv49RDbDA","Tool store"
"Gotlands Elbyrå AB","4.8","8","Vibble Krokgatan 2","Visby",,"SE","http://www.gotlandselbyra.se/","+46 498 21 03 96","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gotlands%20Elbyr%C3%A5%20AB&query_place_id=ChIJYaqkZFCv90YRExn4_AYkmwU","Electrician"
"A.KRANTZ EL AB",,,"Väskinde Lilla Klintegårde 535","Visby",,"SE","https://akrantzel.se/","+46 72 555 20 55","Electrician","Electric vehicle charging station contractor","Electrical installation service","Electrical repair shop","Solar photovoltaic power plant",,,,,,"https://www.google.com/maps/search/?api=1&query=A.KRANTZ%20EL%20AB&query_place_id=ChIJ-f_KWBWr90YRlM6qOqpHT4g","Electrician"
"Visby Contact AB","5","2","Stenkumlaväg 4D","Visby",,"SE","https://www.visbycontactab.se/","+46 498 24 96 55","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Visby%20Contact%20AB&query_place_id=ChIJS0q4dS2v90YRxjIRByFYBzY","Electrician"
"Stengårds Elinstallationer AB","4.3","3","Cypressgatan 6","Visby",,"SE","https://stengardsel.se/","+46 498 21 75 73","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Steng%C3%A5rds%20Elinstallationer%20AB&query_place_id=ChIJAdaxajGv90YRD1DyQdKSETM","Electrician"
"Gotlands El & Finmekanik",,,"Vibble Drejaregatan 22","Vibble",,"SE",,,"Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gotlands%20El%20%26%20Finmekanik&query_place_id=ChIJAQA0IFmv90YR7UDV2ofKjyE","Electrician"
"Berglinds El AB","4.8","5","Burs Ammunde 251","Stånga",,"SE","http://www.berglindsel.se/","+46 70 753 24 22","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Berglinds%20El%20AB&query_place_id=ChIJlQoCVo1t90YRvM6JxgDPn84","Electrician"
"Elon Hemse","4.2","107","Storgatan 37","Hemse",,"SE","https://www.elon.se/butiker/Hemse/elon-hemse/","+46 498 48 06 33","Electrician","Kitchen supply store","Lighting store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Elon%20Hemse&query_place_id=ChIJY4x-Ne5w90YRVWHuFjlkbXs","Electrician"
"Klinte El AB","5","1","Levide Bocksarve 175","Hemse",,"SE","http://www.klinte-el.se/","+46 70 315 29 58","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Klinte%20El%20AB&query_place_id=ChIJt1SAvPF290YRBQ7BVsyCWpQ","Electrician"
"Hablingbo El & Rör","4","5","HABLINGBO STORA DOMERARVE 714","Havdhem",,"SE","http://www.hablingboelservice.se/","+46 70 849 84 81","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hablingbo%20El%20%26%20R%C3%B6r&query_place_id=ChIJfUc3hXh590YRl3dCmJ9hd4Q","Electrician"
"Wesströms VVS AB","5","3","Levide Tummelbos 904","Hemse",,"SE","https://m.facebook.com/Wesstromsvvsab/","+46 73 981 03 04","Plumber",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wesstr%C3%B6ms%20VVS%20AB&query_place_id=ChIJGwd3fOd290YRojvdHlFs7kM","Plumber"
"NärEl","4","1","NÄR HALLUTE 167","Stånga",,"SE",,"+46 498 49 23 00","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=N%C3%A4rEl&query_place_id=ChIJyfAW5wFs90YRcey2_JoLfkQ","Electrician"
"Stånga Rör & El AB","4.8","12","Stånga Gumbalde 802","Stånga",,"SE","http://www.stangarorel.se/","+46 498 48 26 83","Plumber",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=St%C3%A5nga%20R%C3%B6r%20%26%20El%20AB&query_place_id=ChIJIUK2qPVx90YRQ9iHW1dmGeY","Plumber"
"Prolekta Gotland","4.5","2","LEVIDE BURGE 118","Hemse",,"SE","http://www.prolekta.se/","+46 498 65 77 00","Electrician","Solar energy equipment supplier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prolekta%20Gotland&query_place_id=ChIJCcsTr3B390YRfP0UbkoeXno","Electrician"
"Jonssons El i Burgsvik AB","3.5","4","Hoburgsvägen 26","Burgsvik",,"SE",,"+46 498 49 71 52","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jonssons%20El%20i%20Burgsvik%20AB&query_place_id=ChIJ_4gCoGF990YRxIL336-6W_E","Electrical installation service"
"Elkedjan Slite Elfirma AB","4.6","20","Boge Mojner 828A","Slite",,"SE","https://www.sliteel.se/","+46 498 22 08 54","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Elkedjan%20Slite%20Elfirma%20AB&query_place_id=ChIJhek357EC90YR3kRDQ9qaqbc","Electrician"
"Väte El-Service AB","5","3",,"Klintehamn",,"SE",,"+46 70 969 53 47","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=V%C3%A4te%20El-Service%20AB&query_place_id=ChIJuzEhDvkK90YRa3yHqyE4sXE","Electrical installation service"
"Roma El & Antennteknik AB","3.9","11","Visbyvägen 17","Romakloster",,"SE","https://www.romael.se/","+46 498 28 71 50","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Roma%20El%20%26%20Antennteknik%20AB&query_place_id=ChIJ7fmWaw8J90YRT1ZjZVFY2sA","Electrician"
