"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Sallén Elektriska AB","4.4","53","Hansellisgatan 1","Uppsala",,"SE","http://www.sallen.se/","+46 18 16 06 00","Electrician","Electric vehicle charging station contractor","Electrical installation service","Solar photovoltaic power plant",,,,,,,"https://www.google.com/maps/search/?api=1&query=Sall%C3%A9n%20Elektriska%20AB&query_place_id=ChIJqZnFJk3JX0YR6ltQ2EVITi8","Electrician"
"Uppsala Elektriska","5","20","Kungsgatan 46","Uppsala",,"SE","https://uppsalaelektriska.se/","+46 10 148 64 88","Electrician","Electric vehicle charging station contractor","Electrical installation service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Uppsala%20Elektriska&query_place_id=ChIJ1W1d3kvLX0YRqiYAqXzmu0E","Electrician"
"Uppsala Elcentral AB","4.2","9",,"Uppsala",,"SE","https://www.uppsalaelcentral.se/","+46 70 374 31 83","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Uppsala%20Elcentral%20AB&query_place_id=ChIJ5W62kETJX0YR8lewrg7MfD8","Electrician"
"J & C El Holding AB","4.8","5","Libro ringväg 19","Uppsala",,"SE","https://jc-el.se/","+46 18 430 06 10","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=J%20%26%20C%20El%20Holding%20AB&query_place_id=ChIJWSBxCfLLX0YR9LTjUjZSTuI","Electrician"
"Svenska Eljouren - Uppsala","4.3","26","Sylveniusgatan 5d","Uppsala",,"SE","https://svenskaeljouren.se/elektriker-uppsala","+46 10 288 12 40","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Svenska%20Eljouren%20-%20Uppsala&query_place_id=ChIJH6hv23DJX0YRtQl5AB3C10E","Electrician"
"ELit Gruppen","5","2","Säbygatan 23","Uppsala",,"SE","https://www.elitgruppen.se/","+46 18 12 60 40","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ELit%20Gruppen&query_place_id=ChIJLwX9xY1A7UoRfQNTUWZCS48","Electrician"
"Kumlins Elektriska AB","4.8","5","Kungsängsvägen 15","Uppsala",,"SE","http://www.kumlinsel.se/","+46 18 24 16 00","Electrician","Electrical installation service","Solar photovoltaic power plant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kumlins%20Elektriska%20AB&query_place_id=ChIJjcAiLMjOX0YR0T8f7XEQ08E","Electrician"
"Årsta ElService","5","21","Fålhagsleden 103","Uppsala",,"SE","http://www.arstael.se/","+46 73 687 05 60","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%C3%85rsta%20ElService&query_place_id=ChIJ12KkFN0vOKYRcZWHPTwx-sw","Electrician"
"Mella El AB","3.7","6","Verkstadsgatan 8","Uppsala",,"SE","http://mellael.se/","+46 18 10 48 06","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mella%20El%20AB&query_place_id=ChIJVVVVlVnJX0YRIwB0aO6OR2o","Electrician"
"Rolf Karlström El & Reglerteknik AB","5","1","Granitvägen 24C","Uppsala",,"SE","http://el-reglerteknik.se/","+46 18 51 83 83","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rolf%20Karlstr%C3%B6m%20El%20%26%20Reglerteknik%20AB&query_place_id=ChIJ6TEj9rvLX0YRQqzorHkJWKc","Electrician"
"Emil Lundgren AB","4.7","6","Sylveniusgatan 3","Uppsala",,"SE","http://www.emillundgren.se/","+46 18 21 79 90","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Emil%20Lundgren%20AB&query_place_id=ChIJSwcYo0zJX0YRtwmjORsw_nc","Electrician"
"Eitech Electro AB","5","4","Sylveniusgatan 3","Uppsala",,"SE","https://www.eitech.se/","+46 18 66 60 80","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Eitech%20Electro%20AB&query_place_id=ChIJBVJao0zJX0YR4skW7ch5oxc","Electrician"
"X El Service","5","25","Wennerbergsgatan 15","Uppsala",,"SE","https://xeldata.se/","+46 70 495 99 64","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=X%20El%20Service&query_place_id=ChIJa0O2hTHNX0YRNJZL8biGGZo","Electrician"
