company,website,email,performance_mobile,lcp_seconds,seo,lead_score
City El & Tele i Uppsala AB,https://cityeltele.se,info@citycarcharge.se,54,11.4,66,78
Emil Lundgren AB,http://www.emillundgren.se,dpo@vinci-energies.se,67,8.2,69,63
PMC El i Uppsala AB,https://pmcel.se,info@pmcel.se,57,12.2,85,55
Eitech Electro AB,https://www.eitech.se,andreas.jonsson@eitech.se,56,11.4,77,55
Solelsgruppen Sverige AB,https://solelsgruppen.se,info@solelsgruppen.se,63,11.0,92,55
William G AB,http://www.williamg.se,anton@williamg.se,64,9.9,92,55
El & Säkerhet i Uppsala AB,https://www.elsakerhet.com,peter@elsakerhet.com,61,9.3,92,55
All-El i Uppsala,https://www.alleluppsala.se,kontakt@alleluppsala.se,69,9.1,100,55
J & C El Holding AB,https://jc-el.se,info@jc-el.se,77,4.6,92,20
JMAB Elinstallationer AB,http://www.jmab.se,info@jmab.se,79,4.6,100,20
Uppsala Elcentral AB,https://www.uppsalaelcentral.se,info@uppsalaelcentral.se,74,3.8,92,20
Uppsala Elbolag,http://uppsalaelbolag.se,info@uppel.se,73,3.8,92,20
